gender,race/ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score,total_score
female,group B,bachelor's degree,standard,0,0.72,0.6626506024096386,0.7111111111111111,0.6996336996336997
female,group C,some college,standard,1,0.6900000000000001,0.8795180722891568,0.8666666666666667,0.8058608058608059
female,group B,master's degree,standard,0,0.9,0.9397590361445783,0.9222222222222223,0.9194139194139194
male,group A,associate's degree,free/reduced,0,0.47000000000000003,0.4819277108433735,0.3777777777777778,0.4432234432234432
male,group C,some college,standard,0,0.76,0.7349397590361446,0.7222222222222222,0.73992673992674
female,group B,associate's degree,standard,0,0.71,0.7951807228915663,0.7555555555555555,0.7509157509157509
female,group B,some college,standard,1,0.88,0.9397590361445783,0.9111111111111112,0.9084249084249084
male,group B,some college,free/reduced,0,0.4,0.3132530120481928,0.32222222222222224,0.347985347985348
male,group D,high school,free/reduced,1,0.64,0.5662650602409639,0.6333333333333333,0.6153846153846154
female,group B,high school,free/reduced,0,0.38,0.5180722891566265,0.4444444444444445,0.4432234432234432
male,group C,associate's degree,standard,0,0.58,0.4457831325301205,0.46666666666666673,0.5018315018315018
male,group D,associate's degree,standard,0,0.4,0.42168674698795183,0.3666666666666667,0.39560439560439564
female,group B,high school,standard,0,0.65,0.7710843373493976,0.7,0.7032967032967034
male,group A,some college,standard,1,0.78,0.6626506024096386,0.6666666666666666,0.706959706959707
female,group A,master's degree,standard,0,0.5,0.4337349397590362,0.5333333333333333,0.4908424908424909
female,group C,some high school,standard,0,0.6900000000000001,0.6987951807228916,0.7555555555555555,0.7142857142857143
male,group C,high school,standard,0,0.88,0.8674698795180723,0.8444444444444444,0.8644688644688645
female,group B,some high school,free/reduced,0,0.18,0.18072289156626506,0.2,0.18681318681318682
male,group C,master's degree,free/reduced,1,0.46,0.3012048192771085,0.4000000000000001,0.39194139194139194
female,group C,associate's degree,free/reduced,0,0.54,0.49397590361445787,0.5666666666666667,0.5347985347985348
male,group D,high school,standard,0,0.66,0.6265060240963856,0.5888888888888889,0.6263736263736264
female,group B,some college,free/reduced,1,0.65,0.6987951807228916,0.6666666666666666,0.6703296703296704
male,group D,some college,standard,0,0.44,0.4457831325301205,0.4777777777777778,0.45421245421245426
female,group C,some high school,standard,0,0.6900000000000001,0.674698795180723,0.7,0.6886446886446886
male,group D,bachelor's degree,free/reduced,1,0.74,0.6506024096385543,0.7777777777777778,0.7252747252747253
male,group A,master's degree,free/reduced,0,0.73,0.6867469879518073,0.6888888888888889,0.7032967032967034
male,group B,some college,standard,0,0.6900000000000001,0.4457831325301205,0.5,0.5531135531135531
female,group C,bachelor's degree,standard,0,0.67,0.6265060240963856,0.7222222222222222,0.673992673992674
male,group C,high school,standard,0,0.7000000000000001,0.6385542168674699,0.611111111111111,0.652014652014652
female,group D,master's degree,standard,0,0.62,0.6385542168674699,0.7222222222222222,0.6593406593406593
female,group D,some college,standard,0,0.6900000000000001,0.6867469879518073,0.7111111111111111,0.6959706959706959
female,group B,some college,standard,0,0.63,0.5783132530120483,0.5666666666666667,0.5934065934065934
female,group E,master's degree,free/reduced,0,0.56,0.6626506024096386,0.611111111111111,0.6080586080586081
male,group D,some college,standard,0,0.4,0.3012048192771085,0.3111111111111111,0.34065934065934067
male,group E,some college,standard,0,0.97,0.8433734939759038,0.7999999999999999,0.8754578754578755
male,group E,associate's degree,standard,1,0.81,0.7710843373493976,0.7666666666666666,0.7838827838827839
female,group D,associate's degree,standard,0,0.74,0.7710843373493976,0.8111111111111111,0.7728937728937729
female,group D,some high school,free/reduced,0,0.5,0.5662650602409639,0.5444444444444444,0.5347985347985348
female,group D,associate's degree,free/reduced,1,0.75,0.8795180722891568,0.8666666666666667,0.8278388278388279
male,group B,associate's degree,free/reduced,0,0.5700000000000001,0.4698795180722892,0.5222222222222221,0.5238095238095238
male,group C,associate's degree,free/reduced,0,0.55,0.5301204819277109,0.4888888888888889,0.5238095238095238
female,group C,associate's degree,standard,0,0.58,0.674698795180723,0.6444444444444444,0.63003663003663
female,group B,associate's degree,standard,0,0.53,0.49397590361445787,0.611111111111111,0.5457875457875458
male,group B,some college,free/reduced,1,0.59,0.5783132530120483,0.6222222222222222,0.5970695970695971
female,group E,associate's degree,free/reduced,0,0.5,0.4698795180722892,0.4888888888888889,0.4871794871794872
male,group B,associate's degree,standard,0,0.65,0.4457831325301205,0.5222222222222221,0.5457875457875458
female,group A,associate's degree,standard,1,0.55,0.5783132530120483,0.5777777777777777,0.5677655677655677
female,group C,high school,standard,0,0.66,0.6506024096385543,0.7333333333333333,0.6813186813186813
female,group D,associate's degree,free/reduced,1,0.5700000000000001,0.6867469879518073,0.7333333333333333,0.6593406593406593
male,group C,high school,standard,1,0.8200000000000001,0.8072289156626508,0.7999999999999999,0.8095238095238095
male,group E,some college,standard,0,0.53,0.45783132530120485,0.4222222222222222,0.4725274725274725
male,group E,associate's degree,free/reduced,1,0.77,0.6265060240963856,0.6444444444444444,0.684981684981685
male,group C,some college,standard,0,0.53,0.32530120481927716,0.35555555555555557,0.41025641025641024
male,group D,high school,standard,0,0.88,0.7349397590361446,0.7222222222222222,0.7838827838827839
female,group C,some high school,free/reduced,1,0.71,0.8072289156626508,0.8555555555555555,0.7875457875457875
female,group C,high school,free/reduced,0,0.33,0.28915662650602414,0.3666666666666667,0.32967032967032966
female,group E,associate's degree,standard,1,0.8200000000000001,0.819277108433735,0.8444444444444444,0.8278388278388279
male,group D,associate's degree,standard,0,0.52,0.45783132530120485,0.4333333333333334,0.4725274725274725
male,group D,some college,standard,1,0.58,0.5060240963855422,0.5333333333333333,0.5421245421245422
female,group C,some high school,free/reduced,0,0.0,0.0,0.0,0.0
male,group E,bachelor's degree,free/reduced,1,0.79,0.6867469879518073,0.6888888888888889,0.7252747252747253
male,group A,some high school,free/reduced,0,0.39,0.2650602409638554,0.26666666666666666,0.31135531135531136
male,group A,associate's degree,free/reduced,0,0.62,0.5301204819277109,0.5,0.5531135531135531
female,group C,associate's degree,standard,0,0.6900000000000001,0.7590361445783133,0.6777777777777778,0.706959706959707
female,group D,some high school,standard,0,0.59,0.49397590361445787,0.5444444444444444,0.5457875457875458
male,group B,some high school,standard,0,0.67,0.5662650602409639,0.5666666666666667,0.6043956043956044
male,group D,some high school,free/reduced,0,0.45,0.24096385542168677,0.30000000000000004,0.336996336996337
female,group C,some college,standard,0,0.6,0.6626506024096386,0.7111111111111111,0.6556776556776557
male,group B,associate's degree,free/reduced,0,0.61,0.49397590361445787,0.5111111111111111,0.5421245421245422
female,group C,associate's degree,standard,0,0.39,0.5662650602409639,0.5222222222222221,0.4871794871794872
female,group D,some college,free/reduced,1,0.58,0.5542168674698795,0.7,0.6117216117216118
male,group D,some college,standard,1,0.63,0.45783132530120485,0.5888888888888889,0.5641025641025641
female,group A,associate's degree,free/reduced,0,0.41000000000000003,0.40963855421686746,0.4222222222222222,0.4139194139194139
male,group C,some high school,free/reduced,0,0.61,0.4819277108433735,0.5111111111111111,0.5384615384615384
male,group C,some high school,standard,0,0.49,0.3855421686746988,0.34444444444444444,0.41025641025641024
male,group B,associate's degree,free/reduced,0,0.44,0.28915662650602414,0.3111111111111111,0.3516483516483517
male,group E,some high school,standard,0,0.3,0.10843373493975902,0.13333333333333336,0.18681318681318682
male,group A,bachelor's degree,standard,1,0.8,0.7349397590361446,0.7888888888888889,0.7765567765567766
female,group D,some high school,standard,1,0.61,0.6867469879518073,0.6888888888888889,0.6593406593406593
female,group E,master's degree,standard,0,0.62,0.6144578313253013,0.6444444444444444,0.6263736263736264
female,group B,associate's degree,standard,0,0.47000000000000003,0.3855421686746988,0.4444444444444445,0.4358974358974359
male,group B,high school,free/reduced,0,0.49,0.33734939759036153,0.3888888888888889,0.41025641025641024
male,group A,some college,free/reduced,1,0.5,0.3614457831325302,0.4888888888888889,0.45421245421245426
male,group E,associate's degree,standard,0,0.72,0.5662650602409639,0.5888888888888889,0.63003663003663
male,group D,high school,free/reduced,0,0.42,0.2650602409638554,0.26666666666666666,0.32234432234432236
female,group C,some college,standard,0,0.73,0.7590361445783133,0.7999999999999999,0.761904761904762
female,group C,some college,free/reduced,0,0.76,0.7951807228915663,0.8666666666666667,0.8058608058608059
female,group D,associate's degree,standard,0,0.71,0.6506024096385543,0.7111111111111111,0.6923076923076923
female,group A,some college,standard,0,0.58,0.6385542168674699,0.6333333333333333,0.6153846153846154
female,group D,some high school,standard,0,0.73,0.8313253012048193,0.7999999999999999,0.7838827838827839
female,group C,bachelor's degree,standard,0,0.65,0.6626506024096386,0.7111111111111111,0.673992673992674
male,group C,high school,free/reduced,0,0.27,0.20481927710843376,0.2888888888888889,0.25641025641025644
male,group C,high school,standard,0,0.71,0.746987951807229,0.6777777777777778,0.7106227106227107
male,group C,associate's degree,free/reduced,1,0.43,0.33734939759036153,0.4444444444444445,0.4065934065934066
female,group B,some college,standard,0,0.79,0.8313253012048193,0.9111111111111112,0.8424908424908425
male,group C,associate's degree,free/reduced,1,0.78,0.7710843373493976,0.7999999999999999,0.7838827838827839
male,group B,some high school,standard,1,0.65,0.5903614457831325,0.5777777777777777,0.6080586080586081
female,group E,some college,standard,1,0.63,0.6626506024096386,0.6666666666666666,0.652014652014652
female,group D,some college,free/reduced,0,0.58,0.6024096385542169,0.5777777777777777,0.5860805860805861
